P,P,C,1B,2B,3B,SS,OF,OF,OF
Robbie Ray,Max Scherzer,John Ryan Murphy,Paul Goldschmidt,Andrew Romine,Kyle Seager,Carlos Correa,Cameron Maybin,Mitch Haniger,Ian Happ
Robbie Ray,Sean Newcomb,Evan Gattis,Ryan Zimmerman,Ozzie Albies,Alex Bregman,Trea Turner,Bryce Harper,Adam Eaton,Ian Happ
Max Scherzer,Casey Kelly,Evan Gattis,Brandon Belt,Josh Harrison,Alex Bregman,Carlos Correa,George Springer,Starling Marte,Cedric Mullins
Sean Newcomb,Max Scherzer,Michael Perez,Victor Caratini,Ben Zobrist,Mike Moustakas,Jose Peraza,Kyle Schwarber,Ian Happ,Kevin Kiermaier
Robbie Ray,Max Scherzer,Michael Perez,Victor Martinez,Ronny Rodriguez,Jeimer Candelario,Xander Bogaerts,Rosell Herrera,Mikie Mahtook,Mookie Betts
Robbie Ray,Carlos Carrasco,Evan Gattis,Matt Olson,David Fletcher,Matt Chapman,Carlos Correa,Nick Martini,Stephen Piscotty,Giancarlo Stanton
Robbie Ray,Sean Newcomb,Yan Gomes,Yonder Alonso,Logan Forsythe,Jose Ramirez,Carlos Correa,George Springer,Andrew McCutchen,Melky Cabrera
Drew Hutchison,Max Scherzer,Michael Perez,Ian Desmond,Logan Forsythe,Nolan Arenado,Carlos Correa,Josh Reddick,Charlie Blackmon,Carlos Gonzalez
Robbie Ray,Max Scherzer,Martin Maldonado,Yulieski Gurriel,David Fletcher,Alex Bregman,Manny Machado,Marwin Gonzalez,Kevin Kiermaier,Tommy Pham
Robbie Ray,Carlos Carrasco,Yadier Molina,Jose Martinez,Logan Forsythe,Alex Bregman,Paul DeJong,Rosell Herrera,Marcell Ozuna,Josh Reddick
Robbie Ray,Lance Lynn,Michael Perez,Yonder Alonso,Brian Dozier,Yandy Diaz,Francisco Lindor,Matt Kemp,Ian Happ,Michael Brantley
Robbie Ray,Max Scherzer,Omar Narvaez,Matt Davidson,Jason Kipnis,Yandy Diaz,Jose Peraza,Adam Engel,Nicky Delmonico,Cedric Mullins
Lance Lynn,Carlos Carrasco,Michael Perez,Daniel Murphy,Logan Forsythe,Anthony Rendon,Trea Turner,Nicky Delmonico,Adam Eaton,Kevin Kiermaier
Max Scherzer,Lance Lynn,Bobby Wilson,Tyler Austin,Logan Forsythe,Matt Duffy,Jorge Polanco,Ian Happ,Tommy Pham,Cedric Mullins
Robbie Ray,Charlie Morton,Michael Perez,C.J. Cron,Ozzie Albies,Eduardo Escobar,Carlos Correa,A.J. Pollock,Kevin Kiermaier,Mallex Smith
Robbie Ray,Cole Hamels,Rene Rivera,Joey Gallo,Rougned Odor,Alex Bregman,Carlos Correa,Shin-Soo Choo,Carlos Tocci,Curtis Granderson
Robbie Ray,Carlos Carrasco,J.T. Realmuto,Paul Goldschmidt,Whit Merrifield,Brian Anderson,Manny Machado,A.J. Pollock,Rafael Ortega,Austin Dean
Robbie Ray,Carlos Carrasco,Curt Casali,Brandon Belt,Scooter Gennett,Eugenio Suarez,Jose Peraza,Curtis Granderson,Kevin Kiermaier,Andrew McCutchen
Jakob Junis,Max Scherzer,Michael Perez,Chris Davis,Jonathan Villar,Renato Nunez,Manny Machado,Matt Kemp,Andrew McCutchen,Cedric Mullins
Cole Hamels,Carlos Carrasco,Michael Perez,Anthony Rizzo,David Fletcher,Yolmer Sanchez,Addison Russell,Jason Heyward,Ian Happ,Tommy Pham
